date,league,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,source_file
2019-08-09,Ligue 1,19-20,Monaco,Lyon,0,3,A,7.0,13.0,1.0,3.0,2.0,5.0,10.0,17.0,2.0,2.0,1.0,0.0,3.0,3.3,2.37,Le Championnat\19-20.csv
2019-08-09,Premier League,19-20,Liverpool,Norwich,4,1,H,15.0,12.0,7.0,5.0,11.0,2.0,9.0,9.0,0.0,2.0,0.0,0.0,1.14,10.0,19.0,Premier League\19-20.csv
2019-08-10,Ligue 1,19-20,Angers,Bordeaux,3,1,H,14.0,8.0,4.0,3.0,4.0,3.0,11.0,15.0,2.0,1.0,0.0,0.0,2.37,3.1,3.2,Le Championnat\19-20.csv
2019-08-10,Ligue 1,19-20,Brest,Toulouse,1,1,D,16.0,13.0,5.0,3.0,4.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,2.37,3.2,3.1,Le Championnat\19-20.csv
2019-08-10,Ligue 1,19-20,Dijon,St Etienne,1,2,A,15.0,12.0,7.0,4.0,12.0,5.0,17.0,10.0,0.0,2.0,0.0,0.0,4.0,3.2,2.05,Le Championnat\19-20.csv
2019-08-10,Ligue 1,19-20,Marseille,Reims,0,2,A,10.0,8.0,2.0,5.0,5.0,3.0,18.0,8.0,1.0,0.0,0.0,0.0,1.66,3.5,6.0,Le Championnat\19-20.csv
2019-08-10,Ligue 1,19-20,Montpellier,Rennes,0,1,A,24.0,9.0,5.0,3.0,7.0,1.0,20.0,19.0,3.0,3.0,0.0,1.0,2.25,3.1,3.5,Le Championnat\19-20.csv
2019-08-10,Ligue 1,19-20,Nice,Amiens,2,1,H,17.0,8.0,6.0,2.0,7.0,3.0,10.0,8.0,3.0,4.0,0.0,1.0,2.2,3.0,3.8,Le Championnat\19-20.csv
2019-08-10,Premier League,19-20,Bournemouth,Sheffield United,1,1,D,13.0,8.0,3.0,3.0,3.0,4.0,10.0,19.0,2.0,1.0,0.0,0.0,1.95,3.6,3.6,Premier League\19-20.csv
2019-08-10,Premier League,19-20,Burnley,Southampton,3,0,H,10.0,11.0,4.0,3.0,2.0,7.0,6.0,12.0,0.0,0.0,0.0,0.0,2.62,3.2,2.75,Premier League\19-20.csv
2019-08-10,Premier League,19-20,Crystal Palace,Everton,0,0,D,6.0,10.0,2.0,3.0,6.0,2.0,16.0,14.0,2.0,1.0,0.0,1.0,3.0,3.25,2.37,Premier League\19-20.csv
2019-08-10,Premier League,19-20,Tottenham,Aston Villa,3,1,H,31.0,7.0,7.0,4.0,14.0,0.0,13.0,9.0,1.0,0.0,0.0,0.0,1.3,5.25,10.0,Premier League\19-20.csv
2019-08-10,Premier League,19-20,Watford,Brighton,0,3,A,11.0,5.0,3.0,3.0,5.0,2.0,15.0,11.0,0.0,1.0,0.0,0.0,1.9,3.4,4.0,Premier League\19-20.csv
2019-08-10,Premier League,19-20,West Ham,Man City,0,5,A,5.0,14.0,3.0,9.0,1.0,1.0,6.0,13.0,2.0,2.0,0.0,0.0,12.0,6.5,1.22,Premier League\19-20.csv
2019-08-11,Ligue 1,19-20,Lille,Nantes,2,1,H,13.0,13.0,3.0,3.0,5.0,11.0,13.0,17.0,2.0,4.0,0.0,0.0,1.95,3.3,4.2,Le Championnat\19-20.csv
2019-08-11,Ligue 1,19-20,Paris SG,Nimes,3,0,H,12.0,5.0,5.0,1.0,2.0,6.0,17.0,8.0,2.0,0.0,0.0,0.0,1.1,10.0,23.0,Le Championnat\19-20.csv
2019-08-11,Ligue 1,19-20,Strasbourg,Metz,1,1,D,13.0,7.0,2.0,3.0,3.0,4.0,6.0,12.0,0.0,1.0,0.0,0.0,2.05,3.2,4.0,Le Championnat\19-20.csv
2019-08-11,Premier League,19-20,Leicester,Wolves,0,0,D,15.0,8.0,1.0,2.0,12.0,3.0,3.0,13.0,0.0,2.0,0.0,0.0,2.2,3.2,3.4,Premier League\19-20.csv
2019-08-11,Premier League,19-20,Man United,Chelsea,4,0,H,11.0,18.0,5.0,7.0,3.0,5.0,15.0,13.0,3.0,4.0,0.0,0.0,2.1,3.3,3.5,Premier League\19-20.csv
2019-08-11,Premier League,19-20,Newcastle,Arsenal,0,1,A,9.0,8.0,2.0,2.0,5.0,3.0,12.0,7.0,1.0,3.0,0.0,0.0,4.5,3.75,1.72,Premier League\19-20.csv
2019-08-16,Bundesliga,19-20,Bayern Munich,Hertha,2,2,D,17.0,6.0,7.0,3.0,12.0,0.0,6.0,17.0,3.0,3.0,0.0,0.0,1.14,8.0,15.0,Bundesliga\19-20.csv
