date,league,home_team,away_team,market_H,market_D,market_A,nomarket_H,nomarket_D,nomarket_A,poisson_home_xg,poisson_away_xg,poisson_diff,market_pick,nomarket_pick,market_confidence,nomarket_confidence,models_agree,market_nomarket_disagree,actual_result,home_odds,draw_odds,away_odds
2019-08-09,Ligue 1,Monaco,Lyon,0.2913053220792828,0.3007627880626848,0.4079318898580323,0.4298448898402346,0.2449746800448304,0.3251804301149349,1.106918455381371,1.3780212563892251,0.2711028010078542,A,H,0.4079318898580323,0.4298448898402346,False,True,A,3.0,3.3,2.37
2019-08-09,Premier League,Liverpool,Norwich,0.8393547918883633,0.1030903912490653,0.0575548168625713,0.4298448898402346,0.2449746800448304,0.3251804301149349,3.039121071090459,0.7435624029018832,-2.295558668188576,H,H,0.8393547918883633,0.4298448898402346,True,False,H,1.14,10.0,19.0
2019-08-10,Premier League,West Ham,Man City,0.0805582178456611,0.1258788173055934,0.7935629648487454,0.4298448898402346,0.2449746800448304,0.3251804301149349,0.7702306689250513,2.528358767273672,1.7581280983486207,A,H,0.7935629648487454,0.4298448898402346,False,True,A,12.0,6.5,1.22
2019-08-10,Premier League,Watford,Brighton,0.4933484579469088,0.2844445731655488,0.2222069688875422,0.4298448898402346,0.2449746800448304,0.3251804301149349,1.515251325004061,1.0424465558690823,-0.4728047691349786,H,H,0.4933484579469088,0.4298448898402346,True,False,A,1.9,3.4,4.0
2019-08-10,Premier League,Tottenham,Aston Villa,0.742784903689056,0.1643254240959886,0.0928896722149553,0.4298448898402346,0.2449746800448304,0.3251804301149349,2.364961647592448,0.8114551051637994,-1.5535065424286487,H,H,0.742784903689056,0.4298448898402346,True,False,H,1.3,5.25,10.0
2019-08-10,Premier League,Crystal Palace,Everton,0.2902360659699113,0.3031667035635254,0.4065972304665632,0.4298448898402346,0.2449746800448304,0.3251804301149349,1.102982844057106,1.374756741667168,0.2717738976100621,A,H,0.4065972304665632,0.4298448898402346,False,True,D,3.0,3.25,2.37
2019-08-10,Premier League,Burnley,Southampton,0.3422584202001956,0.3124736186141656,0.3452679611856387,0.4298448898402346,0.2449746800448304,0.3251804301149349,1.1955969061622584,1.2587702528630291,0.0631733467007706,A,H,0.3452679611856387,0.4298448898402346,False,True,H,2.62,3.2,2.75
2019-08-10,Premier League,Bournemouth,Sheffield United,0.4796495897944215,0.2771917528867186,0.2431586573188598,0.4298448898402346,0.2449746800448304,0.3251804301149349,1.492535128591781,1.086854930942073,-0.405680197649708,H,H,0.4796495897944215,0.4298448898402346,True,False,D,1.95,3.6,3.6
2019-08-10,Ligue 1,Montpellier,Rennes,0.4124018920969528,0.3185079064733547,0.2690902014296924,0.4298448898402346,0.2449746800448304,0.3251804301149349,1.3260506766089255,1.1170980414211544,-0.208952635187771,H,H,0.4124018920969528,0.4298448898402346,True,False,A,2.25,3.1,3.5
2019-08-10,Ligue 1,Marseille,Reims,0.5832303821316586,0.259580429633504,0.1571891882348374,0.4298448898402346,0.2449746800448304,0.3251804301149349,1.744114533658253,0.9177455565649736,-0.8263689770932795,H,H,0.5832303821316586,0.4298448898402346,True,False,A,1.66,3.5,6.0
