date,group,stage,round,match_id,home_team,away_team,home_slot,away_slot,neutral_venue,status,source,source_url,fetched_at,home_goals,away_goals,aet,penalties_home,penalties_away,winner,source_event_date,source_event_id
2026-06-11,A,Group Stage,Group Stage,,Mexico,South Africa,,,True,scheduled,,,,,,,,,,,
2026-06-11,A,Group Stage,Group Stage,,South Korea,Czech Republic,,,True,scheduled,,,,,,,,,,,
2026-06-12,B,Group Stage,Group Stage,,Canada,Bosnia and Herzegovina,,,True,scheduled,,,,,,,,,,,
2026-06-12,D,Group Stage,Group Stage,,United States,Paraguay,,,True,scheduled,,,,,,,,,,,
2026-06-13,B,Group Stage,Group Stage,,Qatar,Switzerland,,,True,scheduled,,,,,,,,,,,
2026-06-13,C,Group Stage,Group Stage,,Brazil,Morocco,,,True,scheduled,,,,,,,,,,,
2026-06-13,C,Group Stage,Group Stage,,Haiti,Scotland,,,True,scheduled,,,,,,,,,,,
2026-06-13,D,Group Stage,Group Stage,,Australia,Turkey,,,True,scheduled,,,,,,,,,,,
2026-06-14,E,Group Stage,Group Stage,,Germany,Curaçao,,,True,scheduled,,,,,,,,,,,
2026-06-14,E,Group Stage,Group Stage,,Ivory Coast,Ecuador,,,True,scheduled,,,,,,,,,,,
2026-06-14,F,Group Stage,Group Stage,,Netherlands,Japan,,,True,scheduled,,,,,,,,,,,
2026-06-14,F,Group Stage,Group Stage,,Sweden,Tunisia,,,True,scheduled,,,,,,,,,,,
2026-06-15,G,Group Stage,Group Stage,,Belgium,Egypt,,,True,scheduled,,,,,,,,,,,
2026-06-15,G,Group Stage,Group Stage,,Iran,New Zealand,,,True,scheduled,,,,,,,,,,,
2026-06-15,H,Group Stage,Group Stage,,Saudi Arabia,Uruguay,,,True,scheduled,,,,,,,,,,,
2026-06-15,H,Group Stage,Group Stage,,Spain,Cape Verde,,,True,scheduled,,,,,,,,,,,
2026-06-16,I,Group Stage,Group Stage,,France,Senegal,,,True,scheduled,,,,,,,,,,,
2026-06-16,I,Group Stage,Group Stage,,Iraq,Norway,,,True,scheduled,,,,,,,,,,,
2026-06-16,J,Group Stage,Group Stage,,Argentina,Algeria,,,True,scheduled,,,,,,,,,,,
