match_key,manual_odds_found,api_odds_found,openai_odds_found,home_odds,draw_odds,away_odds,final_odds_status,reason
2026-06-11|Mexico|South Africa,False,False,False,,,,missing,no_complete_odds
2026-06-11|South Korea|Czech Republic,False,False,False,,,,missing,no_complete_odds
2026-06-12|Canada|Bosnia and Herzegovina,False,False,False,,,,missing,no_complete_odds
2026-06-12|United States|Paraguay,False,False,False,,,,missing,no_complete_odds
2026-06-13|Qatar|Switzerland,False,False,False,,,,missing,no_complete_odds
2026-06-13|Brazil|Morocco,False,False,False,,,,missing,no_complete_odds
2026-06-13|Haiti|Scotland,False,False,False,,,,missing,no_complete_odds
2026-06-13|Australia|Turkey,False,False,False,,,,missing,no_complete_odds
2026-06-14|Germany|Curaçao,False,False,False,,,,missing,no_complete_odds
2026-06-14|Ivory Coast|Ecuador,False,False,False,,,,missing,no_complete_odds
2026-06-14|Netherlands|Japan,False,False,False,,,,missing,no_complete_odds
2026-06-14|Sweden|Tunisia,False,False,False,,,,missing,no_complete_odds
2026-06-15|Belgium|Egypt,False,False,False,,,,missing,no_complete_odds
2026-06-15|Iran|New Zealand,False,False,False,,,,missing,no_complete_odds
2026-06-15|Saudi Arabia|Uruguay,False,False,False,,,,missing,no_complete_odds
2026-06-15|Spain|Cape Verde,False,False,False,,,,missing,no_complete_odds
2026-06-16|France|Senegal,False,False,False,,,,missing,no_complete_odds
2026-06-16|Iraq|Norway,False,False,False,,,,missing,no_complete_odds
2026-06-16|Argentina|Algeria,False,False,False,,,,missing,no_complete_odds
2026-06-16|Austria|Jordan,False,False,False,,,,missing,no_complete_odds
2026-06-17|Portugal|DR Congo,False,False,False,,,,missing,no_complete_odds
2026-06-17|Uzbekistan|Colombia,False,False,False,,,,missing,no_complete_odds
2026-06-17|England|Croatia,False,False,False,,,,missing,no_complete_odds
2026-06-17|Ghana|Panama,False,False,False,,,,missing,no_complete_odds
2026-06-18|Czech Republic|South Africa,False,False,False,,,,missing,no_complete_odds
2026-06-18|Mexico|South Korea,False,False,False,,,,missing,no_complete_odds
2026-06-18|Canada|Qatar,False,False,False,,,,missing,no_complete_odds
2026-06-18|Switzerland|Bosnia and Herzegovina,False,False,False,,,,missing,no_complete_odds
2026-06-19|Brazil|Haiti,False,False,False,,,,missing,no_complete_odds
2026-06-19|Scotland|Morocco,False,False,False,,,,missing,no_complete_odds
2026-06-19|Turkey|Paraguay,False,False,False,,,,missing,no_complete_odds
2026-06-19|United States|Australia,False,False,False,,,,missing,no_complete_odds
2026-06-20|Ecuador|Curaçao,False,False,False,,,,missing,no_complete_odds
2026-06-20|Germany|Ivory Coast,False,False,False,,,,missing,no_complete_odds
2026-06-20|Netherlands|Sweden,False,False,False,,,,missing,no_complete_odds
2026-06-20|Tunisia|Japan,False,False,False,,,,missing,no_complete_odds
2026-06-21|Belgium|Iran,False,False,False,,,,missing,no_complete_odds
2026-06-21|New Zealand|Egypt,False,False,False,,,,missing,no_complete_odds
2026-06-21|Spain|Saudi Arabia,False,False,False,,,,missing,no_complete_odds
2026-06-21|Uruguay|Cape Verde,False,False,False,,,,missing,no_complete_odds
2026-06-22|France|Iraq,False,False,False,,,,missing,no_complete_odds
2026-06-22|Norway|Senegal,False,False,False,,,,missing,no_complete_odds
2026-06-22|Argentina|Austria,False,False,False,,,,missing,no_complete_odds
2026-06-22|Jordan|Algeria,False,False,False,,,,missing,no_complete_odds
2026-06-23|Colombia|DR Congo,False,False,False,,,,missing,no_complete_odds
2026-06-23|Portugal|Uzbekistan,False,False,False,,,,missing,no_complete_odds
2026-06-23|England|Ghana,False,False,False,,,,missing,no_complete_odds
2026-06-23|Panama|Croatia,False,False,False,,,,missing,no_complete_odds
2026-06-24|Czech Republic|Mexico,False,False,False,,,,missing,no_complete_odds
2026-06-24|South Africa|South Korea,False,False,False,,,,missing,no_complete_odds
2026-06-24|Bosnia and Herzegovina|Qatar,False,False,False,,,,missing,no_complete_odds
2026-06-24|Switzerland|Canada,False,False,False,,,,missing,no_complete_odds
2026-06-24|Morocco|Haiti,False,False,False,,,,missing,no_complete_odds
2026-06-24|Scotland|Brazil,False,False,False,,,,missing,no_complete_odds
2026-06-25|Paraguay|Australia,False,False,False,,,,missing,no_complete_odds
2026-06-25|Turkey|United States,False,False,False,,,,missing,no_complete_odds
2026-06-25|Curaçao|Ivory Coast,False,False,False,,,,missing,no_complete_odds
2026-06-25|Ecuador|Germany,False,False,False,,,,missing,no_complete_odds
2026-06-25|Japan|Sweden,False,False,False,,,,missing,no_complete_odds
2026-06-25|Tunisia|Netherlands,False,False,False,,,,missing,no_complete_odds
2026-06-26|Egypt|Iran,False,False,False,,,,missing,no_complete_odds
2026-06-26|New Zealand|Belgium,False,False,False,,,,missing,no_complete_odds
2026-06-26|Cape Verde|Saudi Arabia,False,False,False,,,,missing,no_complete_odds
2026-06-26|Uruguay|Spain,False,False,False,,,,missing,no_complete_odds
2026-06-26|Norway|France,False,False,False,,,,missing,no_complete_odds
2026-06-26|Senegal|Iraq,False,False,False,,,,missing,no_complete_odds
