date,home_team,away_team,status,home_goals,away_goals,source
2026-06-11,Mexico,South Africa,completed,2.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260611
2026-06-11,South Korea,Czech Republic,completed,2.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260611
2026-06-12,Canada,Bosnia and Herzegovina,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260612
2026-06-12,United States,Paraguay,completed,4.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260612
2026-06-13,Qatar,Switzerland,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260613
2026-06-13,Brazil,Morocco,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260613
2026-06-13,Haiti,Scotland,completed,0.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260613
2026-06-14,Germany,Curaçao,completed,7.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260614
2026-06-14,Ivory Coast,Ecuador,completed,1.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260614
2026-06-14,Netherlands,Japan,completed,2.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260614
2026-06-14,Sweden,Tunisia,completed,5.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260614
2026-06-15,Belgium,Egypt,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260615
2026-06-15,Iran,New Zealand,completed,2.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260615
2026-06-15,Saudi Arabia,Uruguay,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260615
2026-06-15,Spain,Cape Verde,completed,0.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260615
2026-06-16,France,Senegal,completed,3.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260616
2026-06-16,Iraq,Norway,completed,1.0,4.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260616
2026-06-16,Argentina,Algeria,completed,3.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260616
2026-06-16,Austria,Jordan,completed,3.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260617
2026-06-17,Portugal,DR Congo,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260617
2026-06-17,Uzbekistan,Colombia,completed,1.0,3.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260617
2026-06-17,England,Croatia,completed,4.0,2.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260617
2026-06-17,Ghana,Panama,completed,1.0,0.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260617
2026-06-18,Czech Republic,South Africa,completed,1.0,1.0,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260618
