source,requested_dates,matches_found,completed_found,parsed_success,missing_dates,error_message
espn_scoreboard,20260611,2,2,2,,
espn_scoreboard,20260612,2,2,2,,
espn_scoreboard,20260613,3,3,3,,
espn_scoreboard,20260614,5,5,4,,
espn_scoreboard,20260615,4,4,4,,
espn_scoreboard,20260616,3,3,3,,
espn_scoreboard,20260617,5,5,5,,
espn_scoreboard,20260618,4,4,4,,
espn_scoreboard,20260619,4,4,3,,
espn_scoreboard,20260620,3,3,3,,
espn_scoreboard,20260621,5,5,5,,
espn_scoreboard,20260622,4,4,4,,
espn_scoreboard,20260623,4,4,4,,
espn_scoreboard,20260624,6,6,6,,
espn_scoreboard,20260625,6,6,5,,
espn_scoreboard,20260626,6,6,6,,
espn_scoreboard,20260627,6,6,6,,
espn_scoreboard,20260628,1,1,1,,
espn_scoreboard,20260629,3,3,3,,
espn_scoreboard,20260630,3,3,3,,
espn_scoreboard,20260701,3,3,3,,
espn_scoreboard,20260702,3,3,3,,
espn_scoreboard,20260703,3,3,3,,
espn_scoreboard,20260704,2,0,0,,
