date,league,home_team,away_team,actual_result,market_pred,market_confidence,nomarket_pred,nomarket_confidence,xgb_pred,xgb_confidence,poisson_home_xg,poisson_away_xg,poisson_diff
2025-12-14,Bundesliga,Bayern Munich,Mainz,D,H,0.8498633802199481,H,0.8773342725391341,H,0.9551745,3.2951828544030763,0.7786392353763898,-2.5165436190266863
2025-03-08,Bundesliga,Bayern Munich,Bochum,A,H,0.8386561181377533,H,0.8155272025123248,H,0.90191185,3.2492353650142007,0.8713704550431008,-2.3778649099711
2025-04-23,Premier League,Arsenal,Crystal Palace,D,H,0.6957460949610943,H,0.8145610560142884,H,0.8965253,2.273595549317384,0.7675265955657935,-1.5060689537515903
2026-01-31,Bundesliga,Hamburg,Bayern Munich,D,A,0.7607708533953271,A,0.8088525831905397,A,0.863016,1.104024850330151,3.105542894158436,2.001518043828285
2025-04-12,Bundesliga,Leverkusen,Union Berlin,D,H,0.7224965573000859,H,0.7750058194385587,H,0.8472035,2.2803685674371525,0.7954312026616781,-1.4849373647754744
2025-08-24,Serie A,Atalanta,Pisa,D,H,0.6970985205681208,H,0.8359488404587553,H,0.8459931,2.335818260862696,0.8155558803432569,-1.5202623805194393
2025-02-22,Premier League,Arsenal,West Ham,A,H,0.7619787043509345,H,0.7975240682211572,H,0.84430957,2.5081551580298305,0.797503576195435,-1.7106515818343955
2025-03-01,Serie A,Atalanta,Venezia,D,H,0.7959918224222725,H,0.8149179254495538,H,0.84028566,2.6530407174632127,0.7870202635497818,-1.8660204539134309
2025-11-08,Bundesliga,Union Berlin,Bayern Munich,D,A,0.8046252885893157,A,0.7232142933089021,A,0.83944446,0.8530573295449333,2.6200990741867978,1.7670417446418645
2026-01-07,Serie A,Napoli,Verona,D,H,0.7207372075442363,H,0.7954672455625269,H,0.83642024,2.2208578578587,0.7832392534368849,-1.4376186044218153
2025-05-10,Premier League,Southampton,Man City,D,A,0.8013415514690659,A,0.798507896525757,A,0.83044237,0.8893329843707042,2.553925420537311,1.6645924361666071
2026-03-02,La Liga,Real Madrid,Getafe,A,H,0.7483819945733032,H,0.8198537691956683,H,0.83024913,2.386776265810009,0.7869878401753873,-1.5997884256346215
2026-01-17,Premier League,Liverpool,Burnley,D,H,0.7809887305257239,H,0.8017003805107509,H,0.8268826,2.510829496024367,0.7427966370670108,-1.7680328589573562
2025-08-31,Serie A,Inter,Udinese,A,H,0.7398387790830848,H,0.7943278369792304,H,0.81148964,2.38721034280022,0.833111059828091,-1.5540992829721287
2025-10-25,Premier League,Chelsea,Sunderland,A,H,0.7147216211638759,H,0.639144577766232,H,0.8051752,2.265751521184769,0.7987156837237607,-1.4670358374610082
2025-02-08,Ligue 1,Lille,Le Havre,A,H,0.7256622685417189,H,0.7951350012575147,H,0.7988279,2.3731369642535016,0.8661528912638372,-1.5069840729896644
2025-02-15,La Liga,Ath Madrid,Celta,D,H,0.694386032227313,H,0.7616279516358911,H,0.79468316,2.2888193516411484,0.8565793739156476,-1.4322399777255006
2025-12-07,La Liga,Real Madrid,Celta,A,H,0.7454157995121151,H,0.8549961294432152,H,0.79163283,2.6742637086928647,0.7596487434820922,-1.9146149652107725
2025-12-03,Premier League,Liverpool,Sunderland,D,H,0.7094798867640757,H,0.6654294437912291,H,0.7885122,2.2796520569212984,0.8165743537528264,-1.463077703168472
2026-01-24,Bundesliga,Bayern Munich,Augsburg,A,H,0.847996139959117,H,0.9034169133216996,H,0.7884364,3.5372635638129184,0.92220037771033,-2.6150631861025886
2025-10-29,Ligue 1,Lorient,Paris SG,D,A,0.7774959813801436,A,0.7416992936514066,A,0.78823906,1.0043844699927162,2.786183442675137,1.7817989726824206
2026-04-18,Bundesliga,Leverkusen,Augsburg,A,H,0.6970985205681208,H,0.7357947609255291,H,0.78520256,2.533909294143415,1.006392090311279,-1.5275172038321359
2026-02-18,Premier League,Wolves,Arsenal,D,A,0.7625040881729397,A,0.7677449030040688,A,0.783097,0.8522397836314285,2.4993112809582088,1.6470714973267802
2025-03-08,Bundesliga,Leverkusen,Werder Bremen,A,H,0.7624237320084981,H,0.8527011774539877,H,0.7820463,2.5014679746046453,0.7393060871816369,-1.7621618874230083
2025-08-23,Premier League,Man City,Tottenham,A,H,0.659333543822453,H,0.8157290950806618,H,0.7799904,1.9927072506368364,0.8457775621631359,-1.1469296884737004
2025-04-05,La Liga,Barcelona,Betis,D,H,0.7150988461597033,H,0.7509096866520305,H,0.7778523,2.4326083794744147,0.8736049062523881,-1.5590034732220266
2026-05-16,Bundesliga,Leverkusen,Hamburg,D,H,0.7731045547251121,H,0.7564303885163817,H,0.7763051,2.8925794879941225,0.8561301431817726,-2.03644934481235
2025-04-12,Premier League,Brighton,Leicester,D,H,0.7594442750389253,H,0.6859627941929097,H,0.77506685,2.326976895190992,0.7801857891530899,-1.5467911060379023
2026-05-03,Ligue 1,Lille,Le Havre,D,H,0.6926375424831495,H,0.630178233833649,H,0.7738509,2.2206198952706675,0.9766846818220576,-1.24393521344861
2026-01-07,Premier League,Man City,Brighton,D,H,0.6967966357738158,H,0.6951736814628839,H,0.77245885,2.231766661687185,0.8462729477070745,-1.3854937139801105
2026-05-24,Serie A,Milan,Cagliari,A,H,0.754792475041783,H,0.6542402874085749,H,0.77028054,2.314859168617081,0.7464740742816528,-1.568385094335428
2025-08-23,La Liga,Ath Madrid,Elche,D,H,0.7675486061543486,H,0.7687765578926494,H,0.7700538,2.510077790691497,0.8430971038956,-1.6669806867958972
2026-01-14,Serie A,Napoli,Parma,D,H,0.7454456586975743,H,0.769009601357883,H,0.7648796,2.332975143305869,0.7288296805091488,-1.6041454627967204
2026-05-24,Premier League,Man City,Aston Villa,A,H,0.753151696547874,H,0.7568514658793767,H,0.763436,2.870283425729524,0.868160210298196,-2.002123215431328
